Year,Period,SP500_Return,Percent_Change_in_GDP,CPI
2023,Q01,-0.11,-16.4,244.45
2023,Q02,0.06,-12.07,278.6
2023,Q03,-0.01,-17.79,309.32
2023,Q04,0.13,11.02,285.51
2024,Q01,0.12,7.18,295.33
2024,Q02,-0.07,3.85,213.16
2024,Q03,-0.07,-17.4,283.26
2024,Q04,0.13,5.61,311.66
2025,Q01,0.19,-5.67,292.09
2025,Q02,0.16,2.85,264.84
2025,Q03,-0.04,-14.66,215.66
2025,Q04,0.02,7.38,269.45
2026,Q01,0.09,5.7,270.23
2026,Q02,0.1,-20.66,323.4
2026,Q03,-0.04,7.65,254.89
2026,Q04,0.04,21.45,263.34
2027,Q01,0.02,15.7,265.71
2027,Q02,-0.17,22.49,282.68
2027,Q03,0.12,24.55,214.39
2027,Q04,0.16,16.92,294.14
2028,Q01,-0.04,-7.03,288.75
2028,Q02,0.06,8.36,290.1
2028,Q03,-0.15,1.4,282.27
2028,Q04,-0.04,-10.99,264.04
2029,Q01,0.18,-3.05,333.33
2029,Q02,0.07,-18.23,222.49
2029,Q03,-0.03,0.32,202.03
2029,Q04,0.13,25.73,281.65
2030,Q01,-0.06,-14.02,210.07
2030,Q02,0.04,-14.93,318.01
2030,Q03,0.16,14.29,250.49
2030,Q04,-0.01,6.4,222.57
2031,Q01,0.13,1.3,265.1
2031,Q02,-0.12,-14.24,298.91
2031,Q03,0.09,-10.14,314.16
2031,Q04,0.09,21.47,236.86
2032,Q01,-0.09,-1.19,234.89
2032,Q02,0.18,4.48,233.94
2032,Q03,-0.01,-19.65,307.52
2032,Q04,0.17,-7.04,299.7
