Year,Period,Label,S&P500 Return,Percent Change in GDP,CPI,Construction Unemployment Rate,Manufacturing Unemployment Rate,Finance Unemployment Rate
2005,Q01,2005 Qtr1,-0.0259,4.5,192.36666666666667,11.4,5.3,2.6
2005,Q02,2005 Qtr2,0.0091,2,193.66666666666666,6.4,4.6,3.2
2005,Q03,2005 Qtr3,0.0315,3.2,196.6,5.6,4.9,3.2
2005,Q04,2005 Qtr4,0.0159,2.3,198.43333333333334,6.4,4.8,2.5
2006,Q01,2006 Qtr1,0.0373,5.5,199.46666666666667,8.7,4.5,2.6
2006,Q02,2006 Qtr2,-0.0251,1,201.26666666666668,6.4,4.1,3.3
2006,Q03,2006 Qtr3,0.0518,0.6,203.16666666666666,5.9,4.1,2.9
2006,Q04,2006 Qtr4,0.0617,3.4,202.33333333333334,5.8,4,2.2
2007,Q01,2007 Qtr1,0.002,1.2,204.317,9.5,4.6,2.4
2007,Q02,2007 Qtr2,0.0581,2.6,206.631,7.1,4.2,3
2007,Q03,2007 Qtr3,0.0147,2.4,207.939,5.7,3.8,3.1
2007,Q04,2007 Qtr4,-0.0386,2.5,210.48966666666666,7.2,4.5,2.9
2008,Q01,2008 Qtr1,-0.099,-1.6,212.76966666666667,11.5,5.1,3.2
2008,Q02,2008 Qtr2,-0.035,2.3,215.53766666666667,9.3,5.1,3.1
2008,Q03,2008 Qtr3,-0.0864,-2.1,218.861,8.7,5.7,4.1
2008,Q04,2008 Qtr4,-0.2241,-8.5,213.84866666666667,12.9,7.1,5.2
2009,Q01,2009 Qtr1,-0.1164,-4.6,212.37766666666667,20.2,11.5,6.5
2009,Q02,2009 Qtr2,0.1584,-0.7,213.507,18.4,12.5,5.5
2009,Q03,2009 Qtr3,0.148,1.5,215.344,17.3,12,7.1
2009,Q04,2009 Qtr4,0.0571,4.3,217.03,20.2,12.2,6.6
2010,Q01,2010 Qtr1,0.0474,2,217.374,25.5,12.6,7.1
2010,Q02,2010 Qtr2,-0.12,3.9,217.29733333333334,20.6,10.4,7.3
2010,Q03,2010 Qtr3,0.1068,3.1,217.93433333333334,17.2,9.7,6.7
2010,Q04,2010 Qtr4,0.0998,2.1,219.699,18.9,9.8,6.3
2011,Q01,2011 Qtr1,0.0542,-1,222.04366666666667,21.4,9.8,6.4
2011,Q02,2011 Qtr2,-0.0066,2.7,224.56833333333333,16.6,9.4,5.9
2011,Q03,2011 Qtr3,-0.1433,-0.2,226.03266666666667,13.4,8.8,5.9
2011,Q04,2011 Qtr4,0.1117,4.6,227.04733333333334,14.3,7.8,5.6
2012,Q01,2012 Qtr1,0.1188,3.3,228.326,17.4,8.2,4.3
2012,Q02,2012 Qtr2,-0.0329,1.8,228.808,13.8,7,4.9
2012,Q03,2012 Qtr3,0.0575,0.7,229.841,11.8,7.1,4.9
2012,Q04,2012 Qtr4,-0.0102,0.4,231.36933333333334,12.3,7,4.2
2013,Q01,2013 Qtr1,0.1003,3.5,232.29933333333332,15.5,7.2,3.8
